seed,turn,budget,v_index,v_dp,v_lp,rel_gap,idx_over_lp
1,17,4000,2.727475,2.727475,2.740831,-0.0,0.995127
1,18,600,2.035782,2.153333,2.048641,0.054591,0.993723
1,18,1200,2.531209,2.531209,2.568314,0.0,0.985553
1,18,1600,2.584488,2.584488,2.609264,0.0,0.990504
1,18,2500,2.680701,2.680701,2.693462,0.0,0.995262
1,18,4000,2.807738,2.807738,2.817813,0.0,0.996425
1,19,600,2.022173,2.158057,2.045244,0.062966,0.98872
1,19,1200,2.631711,2.631711,2.662426,0.0,0.988463
1,19,1600,2.681711,2.681711,2.701993,0.0,0.992494
1,19,2500,2.776241,2.776241,2.784755,0.0,0.996943
1,19,4000,2.902752,2.902752,2.909808,0.0,0.997575
1,20,600,1.941902,2.099915,1.971145,0.075247,0.985164
1,20,1200,2.650439,2.650439,2.67698,-0.0,0.990086
1,20,1600,2.700439,2.700439,2.716488,-0.0,0.994092
1,20,2500,2.794573,2.794573,2.799474,-0.0,0.998249
1,20,4000,2.919807,2.919807,2.923499,-0.0,0.998737
1,21,600,1.97212,2.142125,1.980087,0.079363,0.995976
1,21,1200,2.790313,2.790313,2.814995,0.0,0.991232
1,21,1600,2.845601,2.845601,2.856953,0.0,0.996026
1,21,2500,2.938118,2.938118,2.939358,0.0,0.999578
1,21,4000,3.062211,3.062211,3.062667,0.0,0.999851
1,22,600,1.856869,2.056328,1.886632,0.096998,0.984224
1,22,1200,2.781921,2.781921,2.800112,-0.0,0.993504
1,22,1600,2.831921,2.831921,2.83966,-0.0,0.997275
1,22,2500,2.880677,2.927284,2.924782,0.015921,0.98492
1,22,4000,3.009378,3.048044,3.0452,0.012685,0.988237
1,23,600,1.844284,2.016875,1.851405,0.085573,0.996154
1,23,1200,2.835665,2.835665,2.850366,-0.0,0.994842
1,23,1600,2.887739,2.887739,2.891398,-0.0,0.998734
1,23,2500,2.934933,2.956615,2.975547,0.007334,0.986351
1,23,4000,3.068916,3.068916,3.101603,-0.0,0.989461
1,24,600,1.76651,1.958753,1.779595,0.098146,0.992647
1,24,1200,2.902394,2.902394,2.912335,-0.0,0.996587
1,24,1600,2.925901,2.952394,2.952096,0.008974,0.991126
1,24,2500,2.999588,2.999588,3.03448,-0.0,0.988501
1,24,4000,3.126223,3.126223,3.154819,-0.0,0.990936
1,25,600,1.738226,1.96346,1.771052,0.114713,0.981465
1,25,1200,3.013131,3.013131,3.019344,0.0,0.997942
1,25,1600,3.013131,3.066796,3.06219,0.017498,0.983979
1,25,2500,3.113989,3.113989,3.145339,0.0,0.990033
1,25,4000,3.245571,3.245571,3.271188,0.0,0.992169
1,26,600,1.699739,1.899412,1.707455,0.105124,0.995481
1,26,1200,3.004533,3.004533,3.006395,-0.0,0.999381
1,26,1600,3.004533,3.01606,3.052943,0.003822,0.984143
1,26,2500,3.110261,3.110261,3.137891,-0.0,0.991195
1,26,4000,3.236536,3.236536,3.259272,0.0,0.993024
1,27,600,1.641301,1.839477,1.649418,0.107735,0.995079
1,27,1200,2.992436,3.032105,3.011288,0.013083,0.99374
1,27,1600,3.032105,3.032105,3.069382,-0.0,0.987855
1,27,2500,3.131222,3.131222,3.155795,-0.0,0.992213
1,27,4000,3.258719,3.258719,3.278229,0.0,0.994048
1,28,600,1.574453,1.816589,1.616517,0.133291,0.973978
1,28,1200,3.070988,3.115773,3.074287,0.014374,0.998927
1,28,1600,3.135226,3.135226,3.172376,0.0,0.98829
1,28,2500,3.238478,3.238478,3.259286,0.0,0.993616
1,28,4000,3.369616,3.369616,3.385999,0.0,0.995162
1,29,600,1.54957,1.75823,1.566549,0.118676,0.989161
1,29,1200,3.021771,3.067226,3.029832,0.01482,0.997339
1,29,1600,3.133158,3.133158,3.163746,-0.0,0.990332
1,29,2500,3.234697,3.234697,3.252024,-0.0,0.994672
1,29,4000,3.36666,3.36666,3.380064,-0.0,0.996034
1,30,600,1.524628,1.767704,1.570231,0.137509,0.970958
1,30,1200,3.142772,3.220872,3.157715,0.024248,0.995268
1,30,1600,3.299734,3.299734,3.326686,-0.0,0.991898
1,30,2500,3.406212,3.406212,3.420169,-0.0,0.995919
1,30,4000,3.540569,3.540569,3.551069,-0.0,0.997043
1,31,600,1.412084,1.660716,1.458959,0.149714,0.967871
1,31,1200,3.038087,3.11232,3.05727,0.023851,0.993725
1,31,1600,3.225596,3.225596,3.247634,0.0,0.993214
1,31,2500,3.328848,3.328848,3.338274,0.0,0.997176
1,31,4000,3.461543,3.461543,3.468913,0.0,0.997876
1,32,600,1.387628,1.617782,1.402035,0.142265,0.989724
1,32,1200,3.030166,3.110243,3.057223,0.025746,0.99115
1,32,1600,3.277782,3.277782,3.295621,-0.0,0.994587
1,32,2500,3.379484,3.379484,3.385495,-0.0,0.998225
1,32,4000,3.514588,3.514588,3.518764,-0.0,0.998813
1,33,600,1.366923,1.616617,1.376206,0.154454,0.993255
1,33,1200,3.178876,3.274867,3.183127,0.029312,0.998664
1,33,1600,3.48619,3.48619,3.499938,-0.0,0.996072
1,33,2500,3.588865,3.588865,3.590855,-0.0,0.999446
1,33,4000,3.727321,3.727321,3.728243,-0.0,0.999753
1,34,600,1.309361,1.542936,1.319111,0.151384,0.992609
1,34,1200,3.073059,3.165315,3.078924,0.029146,0.998095
1,34,1600,3.377008,3.377008,3.386158,-0.0,0.997298
1,34,2500,3.431155,3.483961,3.481756,0.015157,0.985467
1,34,4000,3.572136,3.614609,3.612165,0.01175,0.988918
1,35,600,1.223858,1.486932,1.263411,0.176924,0.968694
1,35,1200,3.049775,3.155673,3.053155,0.033558,0.998893
1,35,1600,3.408756,3.408756,3.413135,0.0,0.998717
1,35,2500,3.45998,3.510834,3.504464,0.014485,0.987306
1,35,4000,3.604747,3.632834,3.63997,0.007731,0.990323
1,36,600,1.191204,1.461061,1.225377,0.184699,0.972112
1,36,1200,3.101303,3.22213,3.104862,0.037499,0.998854
1,36,1600,3.531958,3.531958,3.532061,-0.0,0.999971
1,36,2500,3.583585,3.606921,3.623516,0.00647,0.98898
1,36,4000,3.732076,3.746523,3.764263,0.003856,0.991449
1,37,600,1.115515,1.360449,1.132616,0.180039,0.984902
1,37,1200,2.987122,3.110705,3.000653,0.039728,0.995491
1,37,1600,3.421986,3.444525,3.425009,0.006543,0.999117
1,37,2500,3.497335,3.509425,3.531927,0.003445,0.990206
1,37,4000,3.637297,3.637297,3.667744,-0.0,0.991699
1,38,600,1.078127,1.316974,1.08842,0.18136,0.990543
1,38,1200,2.982875,3.122997,2.996918,0.044868,0.995314
1,38,1600,3.465255,3.511042,3.472138,0.013041,0.998018
1,38,2500,3.577759,3.577759,3.610685,-0.0,0.990881
1,38,4000,3.720064,3.720064,3.745942,-0.0,0.993092
1,39,600,1.00819,1.255547,1.020258,0.197011,0.988172
1,39,1200,3.053456,3.18316,3.057314,0.040747,0.998738
1,39,1600,3.588243,3.644047,3.600731,0.015314,0.996532
1,39,2500,3.733164,3.733164,3.760087,-0.0,0.99284
1,39,4000,3.874169,3.874169,3.896409,-0.0,0.994292
2,0,600,0.273962,0.273962,0.273962,0.0,1.0
2,0,1200,0.273962,0.273962,0.273962,0.0,1.0
2,0,1600,0.273962,0.273962,0.273962,0.0,1.0
2,0,2500,0.273962,0.273962,0.273962,0.0,1.0
2,0,4000,0.273962,0.273962,0.273962,0.0,1.0
2,1,600,0.477142,0.477142,0.478721,0.0,0.996702
2,1,1200,0.525887,0.525887,0.525887,0.0,1.0
2,1,1600,0.525887,0.525887,0.525887,0.0,1.0
2,1,2500,0.525887,0.525887,0.525887,0.0,1.0
2,1,4000,0.525887,0.525887,0.525887,0.0,1.0
2,2,600,0.585554,0.585554,0.635865,0.0,0.920879
2,2,1200,0.68704,0.68704,0.69413,0.0,0.989786
2,2,1600,0.68704,0.68704,0.730488,0.0,0.940521
2,2,2500,0.731943,0.731943,0.731943,0.0,1.0
2,2,4000,0.731943,0.731943,0.731943,0.0,1.0
2,3,600,0.789812,0.789812,0.835697,0.0,0.945094
2,3,1200,0.893044,0.893044,0.895916,0.0,0.996794
2,3,1600,0.893044,0.893044,0.93421,0.0,0.955935
2,3,2500,0.987265,0.987265,0.987265,0.0,1.0
2,3,4000,0.987265,0.987265,0.987265,0.0,1.0
2,4,600,0.927552,0.927552,0.966556,0.0,0.959647
2,4,1200,0.979628,0.979628,1.026621,0.0,0.954225
2,4,1600,1.028398,1.028398,1.064836,0.0,0.965781
2,4,2500,1.119756,1.119756,1.143695,-0.0,0.979068
2,4,4000,1.159441,1.159441,1.159441,-0.0,1.0
2,5,600,1.099999,1.099999,1.133114,0.0,0.970775
2,5,1200,1.150489,1.150489,1.194417,0.0,0.963223
2,5,1600,1.200853,1.200853,1.232895,-0.0,0.97401
2,5,2500,1.292253,1.292253,1.313714,0.0,0.983664
2,5,4000,1.374999,1.374999,1.374999,-0.0,1.0
2,6,600,1.249449,1.249449,1.278965,0.0,0.976922
2,6,1200,1.301792,1.301792,1.341272,0.0,0.970565
2,6,1600,1.352449,1.352449,1.380306,-0.0,0.979818
2,6,2500,1.444188,1.444188,1.461632,-0.0,0.988066
2,6,4000,1.561811,1.561811,1.561811,-0.0,1.0
2,7,600,1.359673,1.359673,1.38415,-0.0,0.982316
2,7,1200,1.411687,1.411687,1.44438,-0.0,0.977365
2,7,1600,1.459232,1.459232,1.481459,-0.0,0.984996
2,7,2500,1.545822,1.545822,1.55922,-0.0,0.991407
2,7,4000,1.665028,1.665028,1.677692,-0.0,0.992451
2,8,600,1.510057,1.510057,1.529864,0.0,0.987053
