model,seed,arm,budget,turn,input_tok,peak_tok,latency_s
llama3.2:1b,1,truncate,400,7,591,384,13.002553
llama3.2:1b,2,truncate,400,0,463,306,11.580753
llama3.2:1b,2,truncate,400,1,482,319,12.260062
llama3.2:1b,2,truncate,400,2,501,328,12.312934
llama3.2:1b,2,truncate,400,3,512,336,12.186587
llama3.2:1b,2,truncate,400,4,533,347,13.087909
llama3.2:1b,2,truncate,400,5,553,360,12.667855
llama3.2:1b,2,truncate,400,6,572,372,11.968626
llama3.2:1b,2,truncate,400,7,590,384,13.724562
llama3.2:1b,3,truncate,400,0,463,306,11.954299
llama3.2:1b,3,truncate,400,1,484,318,12.654792
llama3.2:1b,3,truncate,400,2,503,330,12.020605
llama3.2:1b,3,truncate,400,3,514,337,13.443969
llama3.2:1b,3,truncate,400,4,533,349,13.321205
llama3.2:1b,3,truncate,400,5,551,360,13.288327
llama3.2:1b,3,truncate,400,6,570,371,12.238784
llama3.2:1b,3,truncate,400,7,590,383,12.785231
llama3.2:1b,4,truncate,400,0,463,305,11.652851
llama3.2:1b,4,truncate,400,1,481,318,12.274661
llama3.2:1b,4,truncate,400,2,499,328,12.683534
llama3.2:1b,4,truncate,400,3,507,336,12.042627
llama3.2:1b,4,truncate,400,4,526,348,12.896208
llama3.2:1b,4,truncate,400,5,544,360,12.3728
llama3.2:1b,4,truncate,400,6,562,371,12.123444
llama3.2:1b,4,truncate,400,7,581,385,12.34763
llama3.2:1b,0,uniform,400,0,463,306,2.777496
llama3.2:1b,0,uniform,400,1,224,154,5.636625
llama3.2:1b,0,uniform,400,2,289,201,4.623538
llama3.2:1b,0,uniform,400,3,345,242,5.026644
llama3.2:1b,0,uniform,400,4,401,283,4.894412
llama3.2:1b,0,uniform,400,5,457,325,5.123992
llama3.2:1b,0,uniform,400,6,513,366,4.824014
llama3.2:1b,0,uniform,400,7,569,407,4.881093
llama3.2:1b,1,uniform,400,0,463,305,2.788053
llama3.2:1b,1,uniform,400,1,224,154,5.483587
llama3.2:1b,1,uniform,400,2,289,201,5.318563
llama3.2:1b,1,uniform,400,3,345,242,4.674192
llama3.2:1b,1,uniform,400,4,401,284,4.791584
llama3.2:1b,1,uniform,400,5,457,325,4.890492
llama3.2:1b,1,uniform,400,6,513,366,4.832588
llama3.2:1b,1,uniform,400,7,569,408,4.594842
llama3.2:1b,2,uniform,400,0,463,306,2.822961
llama3.2:1b,2,uniform,400,1,224,154,5.51494
llama3.2:1b,2,uniform,400,2,269,188,4.323401
llama3.2:1b,2,uniform,400,3,325,229,4.788091
llama3.2:1b,2,uniform,400,4,381,270,4.926238
llama3.2:1b,2,uniform,400,5,437,312,4.850486
llama3.2:1b,2,uniform,400,6,493,353,4.873953
llama3.2:1b,2,uniform,400,7,549,395,4.824278
llama3.2:1b,3,uniform,400,0,463,306,2.777651
llama3.2:1b,3,uniform,400,1,224,154,5.527972
llama3.2:1b,3,uniform,400,2,289,201,4.608928
llama3.2:1b,3,uniform,400,3,345,242,4.743426
llama3.2:1b,3,uniform,400,4,401,283,4.75378
llama3.2:1b,3,uniform,400,5,457,325,4.529021
llama3.2:1b,3,uniform,400,6,513,366,4.832337
llama3.2:1b,3,uniform,400,7,569,407,4.660955
llama3.2:1b,4,uniform,400,0,463,305,2.809953
llama3.2:1b,4,uniform,400,1,224,154,5.711669
llama3.2:1b,4,uniform,400,2,289,201,5.362671
llama3.2:1b,4,uniform,400,3,345,242,4.972888
llama3.2:1b,4,uniform,400,4,401,283,4.774526
llama3.2:1b,4,uniform,400,5,457,324,4.514787
llama3.2:1b,4,uniform,400,6,513,366,4.585383
llama3.2:1b,4,uniform,400,7,569,407,4.574903
llama3.2:1b,0,truncate,700,0,463,306,2.777574
llama3.2:1b,0,truncate,700,1,832,551,12.252213
llama3.2:1b,0,truncate,700,2,850,562,12.52623
llama3.2:1b,0,truncate,700,3,860,567,12.044057
llama3.2:1b,0,truncate,700,4,872,575,13.062998
llama3.2:1b,0,truncate,700,5,891,588,12.706332
llama3.2:1b,0,truncate,700,6,912,599,12.837242
llama3.2:1b,0,truncate,700,7,929,610,12.470605
